Network name: C:\Users\Gleepa\Desktop\Проекты\MFSView\graphs\Regulon.net
Number of nodes: 21097
Number of edges: 521756
Number of single edges: 496104
Number of mutual edges: 25652

Algorithm: sampling
Sampling parameter: 100000
Subgraph Size: 4

Generated: 1 random networks
   with locally constant number of bidirectional edges,
   3 exchanges per edge and 3 tries per edge.

Calculating in the original network took: 34 sec 120 ms

Randomization 0 took: 22 sec 751 ms
Total time of a calculation: 1 min 34 sec
N_G;SKO_G;R;R_;Z_SCORE;COUNT_G
10904.413474696843;13439.78360648022;4.9E-324;4.9E-324;-Infinity;5.0
3259.8430351715588;11292.422819183215;4.9E-324;4.9E-324;-Infinity;1.0
126939.5506601228;45854.519431174806;19.95753781846765;-0.20007454877926786;Infinity;28.0
11762.368964396173;13958.48251866595;4.9E-324;4.9E-324;-Infinity;3.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
7182.7484325;14365.478908117695;4.9E-324;4.9E-324;-Infinity;1.0
7182.7484325;14365.478908117695;4.9E-324;4.9E-324;-Infinity;1.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
3.0179035813992E8;2785670.9577461374;0.9604096187254275;0.90920057842172;-Infinity;10504.0
3.01675434165E7;926090.0031806304;0.9283819628647215;0.7742109850659066;-Infinity;1050.0
1465280.6802299998;205128.00774555316;1.02;0.4154199017712549;Infinity;51.0
2385876.051156991;198724.79304152325;3.037637989867293;1.5897311125360294;Infinity;200.0
2.20547940387567E8;2853265.283840434;1.012814692743055;0.937356309582068;Infinity;5638.0
852707.9390577645;118832.43238882913;3.4380333724275904;1.1295636603402939;Infinity;80.0
6.841758562218069E7;1621594.4780011473;0.7887276437876679;0.6897400795104156;-Infinity;1749.0
39247.259815477606;25497.276442081016;0.8313621213572739;-0.2850514526787227;-Infinity;5.0
5.359181949822043E7;1437948.9193207116;0.9399541256435062;0.8024757825516953;-Infinity;1370.0
64741.58074278038;32747.603240542714;1.6964538624647312;-0.219462908397018;Infinity;6.0
1408002.213162256;152686.07103633197;4.970851269847458;1.9479800007780173;Infinity;121.0
1.2214798399173878E7;448968.3549983772;3.591519621488031;2.644929668375165;Infinity;1054.0
706400.5658444377;108160.93159140286;2.8835397000673604;0.8778276148970577;Infinity;65.0
1557056.9034972005;160560.99531045227;2.345610936867223;1.1010101982290794;Infinity;134.0
143826.4497870182;48809.15885112138;4.474582533674818;-0.025752062356093355;Infinity;12.0
1126359.5701043203;136569.97824209498;3.198174491473627;1.2353662844723017;Infinity;97.0
43178.404823252014;26743.672194267238;1.8292695425018408;-0.4485083956900141;Infinity;8.0
13039.372140686235;22584.81741404206;4.9E-324;4.9E-324;-Infinity;2.0
674787.5082805128;162455.72941513668;1.6839782932931264;0.2428741959760718;Infinity;69.0
14365.496865;20315.82970694645;4.9E-324;4.9E-324;-Infinity;1.0
234708.69853235225;95816.550996718;1.8923635670451184;-0.15961627358218894;Infinity;24.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
37647.75399121319;24972.324222188454;4.9E-324;4.9E-324;-Infinity;12.0
6519.6860703431175;15969.890850406042;4.9E-324;4.9E-324;-Infinity;1.0
9516.188225108606;12555.180062300878;4.9E-324;4.9E-324;-Infinity;2.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
521733.16676927486;92956.86901671933;2.3254457304117144;0.5977745210081102;Infinity;45.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
6337134.860373511;497488.9775936083;0.9123895769681821;0.5707145252561459;-Infinity;162.0
19559.058211029354;27660.616254075117;0.608501568215031;-0.6279318914377645;-Infinity;1.0
1043081.523605328;131425.94345534281;4.257877370365921;1.4912576520769623;Infinity;89.0
584036.1199406376;98349.71539178093;6.7373767950276395;1.4466207165951042;Infinity;52.0
4302992.806426458;410048.6075104758;1.1163695960703464;0.6140207691849787;Infinity;110.0
47942.05831417676;28180.39833789908;1.6686529802871792;-0.3184650894003459;Infinity;4.0
31562.244619724144;22865.104478401998;1.3371464974723342;-0.4482718354564788;Infinity;3.0
48897.64552757339;43735.11045432225;1.2812878318534657;-0.5391887004583776;Infinity;5.0
14365.496865;20315.82970694645;4.9E-324;4.9E-324;-Infinity;1.0
97795.29105514678;61850.399875689734;2.5625756637069315;-0.5748794152112116;Infinity;10.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
6519.6860703431175;15969.890850406042;4.9E-324;4.9E-324;-Infinity;1.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
1018878.3347166224;129891.82191746321;6.594482743504264;2.059769340334521;Infinity;85.0
330353.8990102255;73970.72667917797;4.767020763253896;0.6363658055488883;Infinity;29.0
123310.31950890849;45194.30363137798;3.231157865047582;-0.08039641174568038;Infinity;11.0
63124.735328728646;32335.983225716947;3.3081738146292468;-0.33870697303351444;Infinity;6.0
114923.97492;57460.83820875817;4.9E-324;4.9E-324;-Infinity;4.0
60501.458547648166;31657.09789399583;4.9E-324;4.9E-324;-Infinity;14.0
9516.188225108606;12555.180062300878;4.9E-324;4.9E-324;-Infinity;2.0
11762.368964396173;13958.48251866595;4.9E-324;4.9E-324;-Infinity;3.0
29338.58731654403;33877.15556013459;0.6150181592896635;-0.41144455618492903;-Infinity;3.0
13039.372140686235;22584.81741404206;4.9E-324;4.9E-324;-Infinity;2.0
